id;designation;first_name;last_name;email;phone_number
1;OWNER;Keon;Schoen;Yolanda.Renner@yahoo.com;37201
2;ACCOUNTANT;Evalyn;Stroman;Kellie42@hotmail.com;67984
3;OWNER;Kaden;Labadie;Reymundo29@yahoo.com;89552
4;ACCOUNTANT;Adella;Williamson;Roselyn.Bosco@hotmail.com;95680
5;OWNER;Arnulfo;King;Eldon55@gmail.com;67251
6;ACCOUNTANT;Pauline;Sauer;Bessie.Bosco97@hotmail.com;5755
7;ACCOUNTANT;Felicity;Purdy;Vivien_Conroy83@gmail.com;61821
8;DISPATCHER;Antonio;Hyatt;Sim8@hotmail.com;51332
9;OWNER;Krista;Hintz;Gabe.Thompson94@hotmail.com;90769
10;DISPATCHER;Jaydon;Sanford;Keaton.Purdy@yahoo.com;90635
